Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47nF,C_0603_1608Metric,151.400000,-124.700000,90.000000,top
C2,47nF,C_0603_1608Metric,153.400000,-124.700000,270.000000,top
C3,47nF,C_0603_1608Metric,151.750000,-147.250000,90.000000,top
C4,47nF,C_0603_1608Metric,153.300000,-147.250000,270.000000,top
C5,47nF,C_0603_1608Metric,151.750000,-175.850000,90.000000,top
C6,47nF,C_0603_1608Metric,153.300000,-175.850000,270.000000,top
C7,47nF,C_0603_1608Metric,151.710000,-197.830000,90.000000,top
C8,47nF,C_0603_1608Metric,153.260000,-197.830000,270.000000,top
C9,47nF,C_0603_1608Metric,151.750000,-219.700000,90.000000,top
C10,47nF,C_0603_1608Metric,153.300000,-219.700000,270.000000,top
C11,47nF,C_0603_1608Metric,151.700000,-248.800000,90.000000,top
C12,47nF,C_0603_1608Metric,153.250000,-248.800000,270.000000,top
C13,47nF,C_0603_1608Metric,143.475000,-261.025000,180.000000,top
C14,47nF,C_0603_1608Metric,143.487500,-259.475000,0.000000,top
C15,100nF,C_0402_1005Metric,388.500000,-113.900000,270.000000,top
C16,1uF,C_0402_1005Metric,268.400000,-170.400000,270.000000,top
C17,100nF,C_0402_1005Metric,269.400000,-170.420000,270.000000,top
C18,1uF,C_0402_1005Metric,313.200000,-229.950000,180.000000,top
C19,47nF,C_0603_1608Metric,191.500000,-218.950000,180.000000,top
C20,47nF,C_0603_1608Metric,191.500000,-217.400000,0.000000,top
C21,47nF,C_0603_1608Metric,192.100000,-163.150000,0.000000,top
C22,47nF,C_0603_1608Metric,192.100000,-161.400000,180.000000,top
C23,47nF,C_0603_1608Metric,244.700000,-134.650000,180.000000,top
C24,47nF,C_0603_1608Metric,244.700000,-133.100000,0.000000,top
C25,47nF,C_0603_1608Metric,235.740000,-177.050000,90.000000,top
C26,47nF,C_0603_1608Metric,237.260000,-177.050000,270.000000,top
C27,47nF,C_0603_1608Metric,235.740000,-259.760000,90.000000,top
C28,47nF,C_0603_1608Metric,237.270000,-259.760000,270.000000,top
C29,47nF,C_0603_1608Metric,249.275000,-168.900000,270.000000,top
C30,47nF,C_0603_1608Metric,250.540000,-228.750000,270.000000,top
C31,47nF,C_0603_1608Metric,247.750000,-168.900000,90.000000,top
C32,47nF,C_0603_1608Metric,249.010000,-228.750000,90.000000,top
C33,47nF,C_0603_1608Metric,273.275000,-135.800000,90.000000,top
C34,47nF,C_0603_1608Metric,273.250000,-197.850000,270.000000,top
C35,47nF,C_0603_1608Metric,264.860000,-258.740000,270.000000,top
C36,47nF,C_0603_1608Metric,271.750000,-135.800000,270.000000,top
C37,47nF,C_0603_1608Metric,271.730000,-197.850000,90.000000,top
C38,47nF,C_0603_1608Metric,263.330000,-258.740000,90.000000,top
C39,47nF,C_0603_1608Metric,273.275000,-146.200000,270.000000,top
C40,47nF,C_0603_1608Metric,273.260000,-228.360000,270.000000,top
C41,47nF,C_0603_1608Metric,271.750000,-146.200000,90.000000,top
C42,47nF,C_0603_1608Metric,271.730000,-228.360000,90.000000,top
C43,47nF,C_0603_1608Metric,299.750000,-146.200000,270.000000,top
C44,47nF,C_0603_1608Metric,297.290000,-229.360000,270.000000,top
C45,47nF,C_0603_1608Metric,298.230000,-146.200000,90.000000,top
C46,47nF,C_0603_1608Metric,295.770000,-229.357500,90.000000,top
C47,47nF,C_0603_1608Metric,308.275000,-135.775000,270.000000,top
C48,47nF,C_0603_1608Metric,308.310000,-197.750000,270.000000,top
C49,47nF,C_0603_1608Metric,306.750000,-135.775000,90.000000,top
C50,47nF,C_0603_1608Metric,306.790000,-197.750000,90.000000,top
C51,47nF,C_0603_1608Metric,318.780000,-146.200000,270.000000,top
C52,47nF,C_0603_1608Metric,321.260000,-228.770000,270.000000,top
C53,47nF,C_0603_1608Metric,317.260000,-146.200000,90.000000,top
C54,47nF,C_0603_1608Metric,319.740000,-228.767500,90.000000,top
C55,47nF,C_0603_1608Metric,379.785000,-177.407500,90.000000,top
C56,47nF,C_0603_1608Metric,381.315000,-177.410000,270.000000,top
C57,47nF,C_0603_1608Metric,355.730000,-248.845000,90.000000,top
